City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,rupea,46.0333,25.2167,286.94,81,100,3.47,RO,1728675260
184,lihue,21.9789,-159.3672,299.92,78,40,3.09,US,1728675261
185,robertsport,6.7533,-11.3686,298.27,86,100,3.98,LR,1728675263
186,klaksvik,62.2266,-6.589,277.18,58,98,7.42,FO,1728675264
187,mpika,-11.8343,31.4529,289.35,80,100,3.39,ZM,1728675266
188,rio branco,-9.9747,-67.81,300.49,78,75,7.2,BR,1728675175
189,fairbanks,64.8378,-147.7164,276.44,83,20,1.54,US,1728675269
190,nouadhibou,20.931,-17.0347,293.16,92,100,6.79,MR,1728675271
191,tournus,46.5676,4.9057,281.52,94,88,1.62,FR,1728675125
192,kourou,5.1552,-52.6478,302.4,72,98,3.85,GF,1728675078
193,vadso,70.0744,29.7487,283.24,81,75,8.23,NO,1728675275
194,yellowknife,62.456,-114.3525,275.44,100,100,1.54,CA,1728675276
195,antalaha,-14.9003,50.2788,295.0,83,8,4.75,MG,1728675277
196,at taj,24.2049,23.2857,300.99,20,2,3.95,LY,1728675278
197,yangambi,0.8102,24.4336,294.34,98,98,1.21,CD,1728675280
198,broken hill,-31.95,141.4333,284.05,57,84,7.32,AU,1728675281
199,morehead city,34.7229,-76.726,295.17,55,0,4.12,US,1728675283
200,marsabit,2.3284,37.9899,296.3,40,62,9.16,KE,1728675284
201,tamiahua,21.2667,-97.45,301.57,58,11,4.18,MX,1728675286
202,livny,52.4253,37.6069,285.87,66,6,5.18,RU,1728675287
203,thunder bay,48.4001,-89.3168,291.1,42,40,6.69,CA,1728675288
204,wynyard,-41.0,145.7167,279.37,83,9,2.7,AU,1728675290
205,vilyuchinsk,52.9306,158.4028,277.3,85,100,10.06,RU,1728675292
206,tiksi,71.6872,128.8694,262.64,96,67,3.04,RU,1728675293
207,malabar,-33.9667,151.25,289.99,72,75,10.8,AU,1728675295
208,northam,51.0333,-4.2167,282.38,87,100,3.37,GB,1728675296
209,qaqortoq,60.7167,-46.0333,276.78,59,100,1.28,GL,1728675297
210,tindouf,27.6711,-8.1474,304.4,27,0,6.17,DZ,1728675298
